id;ts;station;endpoint;node_id;tag;datatype;wert_num;wert_bool;wert_text;payload_json;mqtt_topic;created_at
27;"2026-09-04 12:15:08";transfersystem_roboter;192.168.36.9:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;1;;"{""station"": ""transfersystem_roboter"", ""endpoint"": ""192.168.36.9:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:15:08.351Z""}";plc/transfersystem_roboter/AL_MA1_Rechtslauf;"2026-09-04 12:15:08"
28;"2026-09-04 12:15:16";transfersystem_roboter;192.168.36.9:4840;"ns=3;s=""+AL-MA1.Linkslauf""";AL_MA1_Linkslauf;Boolean;;1;;"{""station"": ""transfersystem_roboter"", ""endpoint"": ""192.168.36.9:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Linkslauf\""", ""tag"": ""AL_MA1_Linkslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:15:16.359Z""}";plc/transfersystem_roboter/AL_MA1_Linkslauf;"2026-09-04 12:15:16"
29;"2026-09-04 12:15:16";transfersystem_roboter;192.168.36.9:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;0;;"{""station"": ""transfersystem_roboter"", ""endpoint"": ""192.168.36.9:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:15:16.359Z""}";plc/transfersystem_roboter/AL_MA1_Rechtslauf;"2026-09-04 12:15:16"
30;"2026-09-04 12:15:17";transfersystem_roboter;192.168.36.9:4840;"ns=3;s=""+AL-BG1_Bandsensor_Links""";AL_BG1_Bandsensor_Links;Boolean;;0;;"{""station"": ""transfersystem_roboter"", ""endpoint"": ""192.168.36.9:4840"", ""nodeId"": ""ns=3;s=\"+AL-BG1_Bandsensor_Links\""", ""tag"": ""AL_BG1_Bandsensor_Links"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:15:17.359Z""}";plc/transfersystem_roboter/AL_BG1_Bandsensor_Links;"2026-09-04 12:15:17"
31;"2026-09-04 12:15:17";transfersystem_roboter;192.168.36.9:4840;"ns=3;s=""+AL-MA1.Linkslauf""";AL_MA1_Linkslauf;Boolean;;0;;"{""station"": ""transfersystem_roboter"", ""endpoint"": ""192.168.36.9:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Linkslauf\""", ""tag"": ""AL_MA1_Linkslauf"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:15:17.359Z""}";plc/transfersystem_roboter/AL_MA1_Linkslauf;"2026-09-04 12:15:17"
32;"2026-09-04 12:15:18";abf_llen;192.168.36.4:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;0;;"{""station"": ""abf_llen"", ""endpoint"": ""192.168.36.4:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:15:18.288Z""}";plc/abf_llen/AL_MA1_Rechtslauf;"2026-09-04 12:15:18"
33;"2026-09-04 12:15:18";transfersystem_roboter;192.168.36.9:4840;"ns=3;s=""+AL-BG1_Bandsensor_Links""";AL_BG1_Bandsensor_Links;Boolean;;1;;"{""station"": ""transfersystem_roboter"", ""endpoint"": ""192.168.36.9:4840"", ""nodeId"": ""ns=3;s=\"+AL-BG1_Bandsensor_Links\""", ""tag"": ""AL_BG1_Bandsensor_Links"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:15:18.362Z""}";plc/transfersystem_roboter/AL_BG1_Bandsensor_Links;"2026-09-04 12:15:18"
34;"2026-09-04 12:15:18";transfersystem_roboter;192.168.36.9:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;1;;"{""station"": ""transfersystem_roboter"", ""endpoint"": ""192.168.36.9:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:15:18.362Z""}";plc/transfersystem_roboter/AL_MA1_Rechtslauf;"2026-09-04 12:15:18"
35;"2026-09-04 12:15:18";qualit_t_kamera;192.168.36.5:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;1;;"{""station"": ""qualit_t_kamera"", ""endpoint"": ""192.168.36.5:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:15:18.460Z""}";plc/qualit_t_kamera/AL_MA1_Rechtslauf;"2026-09-04 12:15:18"
36;"2026-09-04 12:15:29";transfersystem_roboter;192.168.36.9:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;0;;"{""station"": ""transfersystem_roboter"", ""endpoint"": ""192.168.36.9:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:15:29.373Z""}";plc/transfersystem_roboter/AL_MA1_Rechtslauf;"2026-09-04 12:15:29"
37;"2026-09-04 12:15:31";qualit_t_kamera;192.168.36.5:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;0;;"{""station"": ""qualit_t_kamera"", ""endpoint"": ""192.168.36.5:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:15:31.471Z""}";plc/qualit_t_kamera/AL_MA1_Rechtslauf;"2026-09-04 12:15:31"
38;"2026-09-04 12:15:40";handling_saugarm;192.168.36.6:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;1;;"{""station"": ""handling_saugarm"", ""endpoint"": ""192.168.36.6:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:15:40.709Z""}";plc/handling_saugarm/AL_MA1_Rechtslauf;"2026-09-04 12:15:40"
39;"2026-09-04 12:15:41";qualit_t_kamera;192.168.36.5:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;1;;"{""station"": ""qualit_t_kamera"", ""endpoint"": ""192.168.36.5:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:15:41.479Z""}";plc/qualit_t_kamera/AL_MA1_Rechtslauf;"2026-09-04 12:15:41"
40;"2026-09-04 12:15:43";qualit_t_kamera;192.168.36.5:4840;"ns=3;s=""+AL-BG2_Bandsensor_Rechts""";AL_BG2_Bandsensor_Rechts;Boolean;;0;;"{""station"": ""qualit_t_kamera"", ""endpoint"": ""192.168.36.5:4840"", ""nodeId"": ""ns=3;s=\"+AL-BG2_Bandsensor_Rechts\""", ""tag"": ""AL_BG2_Bandsensor_Rechts"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:15:43.482Z""}";plc/qualit_t_kamera/AL_BG2_Bandsensor_Rechts;"2026-09-04 12:15:43"
41;"2026-09-04 12:15:44";qualit_t_kamera;192.168.36.5:4840;"ns=3;s=""+AL-BG2_Bandsensor_Rechts""";AL_BG2_Bandsensor_Rechts;Boolean;;1;;"{""station"": ""qualit_t_kamera"", ""endpoint"": ""192.168.36.5:4840"", ""nodeId"": ""ns=3;s=\"+AL-BG2_Bandsensor_Rechts\""", ""tag"": ""AL_BG2_Bandsensor_Rechts"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:15:44.484Z""}";plc/qualit_t_kamera/AL_BG2_Bandsensor_Rechts;"2026-09-04 12:15:44"
